file,language,orthography
valtiopaivat-records/data/1863-1864/prot_1863-1864_adeln_III.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_adeln_II.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_adeln_I.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_adeln_IV.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_adeln_V.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_bonde_II.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_bonde_I.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_borgare_III.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_borgare_II.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_borgare_I.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_borgare_IV.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_praster_II.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_praster_I.xml,s,r
valtiopaivat-records/data/1863-1864/prot_1863-1864_prester_III.xml,s,r
valtiopaivat-records/data/1863-1864/ptk_1863-1864_talonpojat_II.xml,f,b
valtiopaivat-records/data/1863-1864/ptk_1863-1864_talonpojat_I.xml,f,b
valtiopaivat-records/data/1905-1906/prot_1905-1906_adeln_II.xml,s,r
valtiopaivat-records/data/1905-1906/prot_1905-1906_adeln_I.xml,s,r
valtiopaivat-records/data/1905-1906/prot_1905-1906_borgare_II.xml,s,r
valtiopaivat-records/data/1905-1906/prot_1905-1906_borgare_I.xml,s,r
valtiopaivat-records/data/1905-1906/prot_1905-1906_papisto_I.xml,fs,r
valtiopaivat-records/data/1905-1906/ptk_1905-1906_papisto_II.xml,fs,r
valtiopaivat-records/data/1905-1906/ptk_1905-1906_porvaristo_II.xml,fs,r
valtiopaivat-records/data/1905-1906/ptk_1905-1906_porvaristo_I.xml,fs,r
valtiopaivat-records/data/1905-1906/ptk_1905-1906_talonpojat_.xml,f,r
valtiopaivat-records/data/1900/prot_1900_adeln_II.xml,s,r
