"path";"n_paragraphs";"selected_paragraph";"paragraph_classification";"first)words";"last_words";"note"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0654";"3";"3.0";"seg";"Dödsstraffets - och jag";"af de inkast";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_IV/prot_1863-1864_adeln_IV-0001";"10 / NA";"";"";"";"";"title page - difficult"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_V/prot_1863-1864_adeln_V-0321";"10";"8.0";"note";"7:o från borgareståndet";"sistsagde nådiga proposition.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_I/prot_1863-1864_bonde_I-0155";"7";"1.0";"speech-summary";"talaren, att försäljningen";"af landets gäld.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_I/prot_1863-1864_bonde_I-0304";"9";"3.0";"speech-summary";"Landtdagsmannen Keton anmärkte";"för sina barn.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0939";"10";"10.0";"note";"§ 15. Antogs med";"om kommunalnämnd";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_borgare_I/prot_1863-1864_borgare_I-0156";"1";"1.0";"seg";"för grundläggning af";"internationella handeln, slå";"reading a report"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_borgare_II/prot_1863-1864_borgare_II-0242";"3";"2.0";"note";"Diskussionen afbröts genom";"inträde i hypotheks-föreningen.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_borgare_II/prot_1863-1864_borgare_II-0497";"8";"1.0";"note";"§§ 24, 25";"utan diskussion.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_praster_I/prot_1863-1864_praster_I-0345";"6";"3.0";"note";"Antager ståndet utskottets";"lemnas utan afseende?";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_praster_II/prot_1863-1864_praster_II-0014";"2";"1.0";"speech-summary";"Kontraktsprosten Hellén ansåg att";"antagande af ståndet.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_praster_II/prot_1863-1864_praster_II-0033";"3";"2.0";"speech-summary";"Biskopen Frosterus yttrade att";"lediga till ansökning.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_prester_III/prot_1863-1864_prester_III-0452";"9";"7.0";"note";"Emot beslutet nedlades";"kontraktsprosten doktor Granfelt.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_prester_III/prot_1863-1864_prester_III-0621";"9";"5.0";"speech-summary";"Domprosten Borh ansåg";"nog mycket förbisedda.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_prester_III/prot_1863-1864_prester_III-0704";"3";"3.0";"speech-summary";"Konktraksprosten Hellén har";"presten fungerar icke";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/ptk_1863-1864_talonpojat_II/ptk_1863-1864_talonpojat_II-0445";"7";"2.0";"speech-summary";"Edusmiehet Leino";"yksimieliset Klamin kanssa.";"fraktur"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/ptk_1863-1864_talonpojat_II/ptk_1863-1864_talonpojat_II-0651";"4";"1.0";"speech-summary";"nettu. Opetuskouluja ja";"oli siinä muistuttanut.";"fraktur"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1863-1864/ptk_1863-1864_talonpojat_II/ptk_1863-1864_talonpojat_II-0739";"5";"5.0";"speech-summary";"Edusmies Heikura katsoi";"säädyssä, mutta aikaa";"fraktur"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_adeln_I/prot_1867_adeln_I-0300";"2";"2.0";"seg";"Då frågan";"utskottsförslaget i hufvudsak. Han";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_adeln_I/prot_1867_adeln_I-0460";"3";"1.0";"seg";"""bränvinsskatten återstå, jemväl";"och adeln inlemnades.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_adeln_III/prot_1867_adeln_III-0354";"3";"2.0";"seg";"Jag påyrkar";"redaktion propositionen föreslår.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_borgare_I/prot_1867_borgare_I-0421";"4";"4.0";"seg";"Jag tror";"att verket ock";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_borgare_II/prot_1867_borgare_II-0242";"3";"1.0";"seg";"och som det med";"redan vidtagnet åtgärd.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_borgare_II/prot_1867_borgare_II-0346";"4";"1.0";"seg";"dom för ståndens medlemmar;";"frågan till särskild granskning.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_praster_I/prot_1867_praster_I-0097";"8";"2.0";"note";"Remisshandlingarna får";"vörsamt återställa.";"very difficult! are paragraphs units of text that go together e.g. all signatures form one paragraph?"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_praster_II/prot_1867_praster_II-0240";"7";"5.0";"speech-summary";"Domprosten doktor Borg delade";"såsom straffets rättsgrund.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/prot_1867_praster_II/prot_1867_praster_II-0308";"11";"10.0";"note";"§ 11 godkändes";"utskottets betänkande.";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/ptk_1867_talonpojat_I/ptk_1867_talonpojat_I-0335";"11";"6.0";"speech-summary";"Edusmies Taskinen hyväksyi";"armollisen esityksen.";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/ptk_1867_talonpojat_I/ptk_1867_talonpojat_I-0425";"2";"2.0";"seg";"""Esitys on";"asti talouden edesauttami-";"reading from written text"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1867/ptk_1867_talonpojat_II/ptk_1867_talonpojat_II-0259";"6";"5.0";"note";"Edellä mainitun pyynnön suhteen";"eikä lueta julki.";"both Finnish and Swedish"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_adeln_I/prot_1872_adeln_I-0456";"1";"1.0";"seg";"Ty om, såsom";"Kuopio, ledo stora";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_adeln_II/prot_1872_adeln_II-0232";"1";"1.0";"seg";"sig till last";"grund af den ringa";""
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_adeln_II/prot_1872_adeln_II-0314";"9";"7.0";"note";"Utan diskussion godkändes";"20-25 paragraferna.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_borgare_III/prot_1872_borgare_III-0597";"1";"1.0";"seg";"Jag ber att";"subventionera banan Tammerfors-Björneborg.";"stenog"
"https://swerik-project.github.io/valtiopaivat-records-pdf/1872/prot_1872_borgare_III/prot_1872_borgare_III-0744";"3";"2.0";"seg";"Då endast de";"skattetal måtte bibehållas.";"stenog"
