path	n_cols	n_lines	sampled_line	line_text
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0168.pdf	1	36	21	Herr Schauman, B. O.: Jag har blifvit förekommen
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0168.pdf	1	36	28	detta mom., om det skall qvarstå, måtte förändras sålunda
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0168.pdf	1	36	31	Herr Aminoff: Också jag ber att få instämma i herr
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0489.pdf	1	36	17	nas anställdes, votering, som utföll
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0489.pdf	1	36	21	Sedan till följe af denna votering ifrågavarande § 6
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_III/prot_1863-1864_adeln_III-0489.pdf	1	36	29	vara för mantalspenningar fria, dock endast för sina egne
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_IV/prot_1863-1864_adeln_IV-0667.pdf	1	37	15	färdas får, frånvarande, så måste tjenstehjon vara berätti-
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_IV/prot_1863-1864_adeln_IV-0667.pdf	1	37	20	bifall till ifrågavarande § i den nådiga propositionen, utan
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_adeln_IV/prot_1863-1864_adeln_IV-0667.pdf	1	37	22	Herr landtmarskalkens till ståndet ställda fråga, om
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0602.pdf	1	35	1	att barnen, då de blifvit myndiga, borde få gå i främmande
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0602.pdf	1	35	20	kande beträffande ifrågavarande § medelst 27 röster mot 6.
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0602.pdf	1	35	23	icke borde hafva samma rätt öfver forsterbarn som verkliga
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0619.pdf	1	37	5	Hagman föreslagna ändring.
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0619.pdf	1	37	21	således endast på grund av orlofssedlarne.
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_II/prot_1863-1864_bonde_II-0619.pdf	1	37	37	samt förmälte, att befolkningen inom Åbo län vore ålagd
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_I/prot_1863-1864_bonde_I-0125.pdf	1	37	27	efter tre år. Ståndets medlemmar synas vara af olika
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_I/prot_1863-1864_bonde_I-0125.pdf	1	37	33	Men häremot hafva föregående talare yttrat, att det
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_bonde_I/prot_1863-1864_bonde_I-0125.pdf	1	37	36	inrättas. Ståndet borde icke tänka på att genom obetänk-
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_borgare_III/prot_1863-1864_borgare_III-0365.pdf	1	37	11	tets betänkande, framställdes af herr talmannen, efter slu-
https://pdf.swedeb.se/valtiopaivat-records-pdf/1863-1864/prot_1863-1864_borgare_III/prot_1863-1864_borgare_III-0365.pdf	1	37	19	vilja det senare, svara nekande.
